"q","repetition","calibration","subgroup","estimate","lower","upper","width","trial_estimate","trial_lower","trial_upper","trial_width","width_ratio","n_control","n_treated","borrowing_estimate","borrowing_lower_bound","control_estimate","control_lower","control_upper","negative_transfer","prognostic_status","prognostic_reason","prognostic_upper","prognostic_lower","prognostic_estimate"
0.1,1,"intercept","free_lunch_1",9.54597458221941,-1.35882374208945,16.3477362611674,17.7065600032569,7.94358066099284,-1.84565424139388,15.9439345786627,17.7895888200566,0.995332729854547,93,58,-27.9902615744334,-35.9568170395512,19.1549007631573,12.0813748473736,194.65186348352,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"intercept","free_lunch_2",13.7439167654057,3.90934962307094,24.3194329590948,20.4100833360239,16.5548165835138,3.78004832600528,24.2969381618721,20.5168898358669,0.994794215853502,69,51,-27.9902615744334,-35.9568170395512,19.1549007631573,12.0813748473736,194.65186348352,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"intercept","free_lunch_Missing",10.1383894457762,1.85268844458001,19.8837987268805,18.0311102823005,9.25119496809709,0.4897208560441,17.1361449865073,16.6464241304632,1.08318219822978,7,6,-27.9902615744334,-35.9568170395512,19.1549007631573,12.0813748473736,194.65186348352,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"ridge","free_lunch_1",7.84318971743284,-1.12327286227984,15.0141112667746,16.1373841290545,7.94435685508045,-1.28281682822605,17.8567756058831,19.1395924341092,0.84314147151303,93,58,-2.10219148031663,-3.99507719080508,10.0078280142898,16.9400040083731,193.46136043322,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"ridge","free_lunch_Missing",8.81267998100919,1.39595304746935,16.5862252019552,15.1902721544858,9.05112947981585,0.642150973309799,17.5823465245866,16.9401955512768,0.896699929378378,7,6,-2.10219148031663,-3.99507719080508,10.0078280142898,16.9400040083731,193.46136043322,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"ridge","free_lunch_2",15.7795533733841,4.49245953442698,24.3214621576227,19.8290026231957,16.2633234848162,4.23272245184715,24.4063626895715,20.1736402377244,0.98291643895363,69,51,-2.10219148031663,-3.99507719080508,10.0078280142898,16.9400040083731,193.46136043322,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"lasso","free_lunch_1",7.35160331180716,-1.25367112255378,15.5962246312722,16.8498957538259,7.94435685508045,-1.28281682822605,17.8567756058831,19.1395924341092,0.880368576908529,93,58,-1.06444013149445,-9.91850872475749,-6.01231885613358,-10.7838927357977,222.675341694178,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"lasso","free_lunch_Missing",8.40777367895008,1.27683156433162,15.6411856501033,14.3643540857717,9.05112947981585,0.642150973309799,17.5823465245866,16.9401955512768,0.847944998172645,7,6,-1.06444013149445,-9.91850872475749,-6.01231885613358,-10.7838927357977,222.675341694178,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.1,1,"lasso","free_lunch_2",15.7761516338437,4.26687253442502,23.7476613611665,19.4807888267415,16.2633234848162,4.23272245184715,24.4063626895715,20.1736402377244,0.965655607871538,69,51,-1.06444013149445,-9.91850872475749,-6.01231885613358,-10.7838927357977,222.675341694178,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.2,1,"intercept","free_lunch_1",11.7335747187534,9.30817559414652,15.6726996642601,6.36452407011359,10.5034064490041,7.15856370557213,16.1558899261735,8.9973262206014,0.707379494092432,177,115,-11.8223327958706,-22.4144805113378,40.9164408531726,-27.1878431418411,87.0337227423856,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.2,1,"intercept","free_lunch_2",9.00714588094637,2.28098757351469,15.0017158429938,12.7207282694791,9.09959712503203,2.43209681213452,15.6882593915725,13.256162579438,0.959608649430008,132,105,-11.8223327958706,-22.4144805113378,40.9164408531726,-27.1878431418411,87.0337227423856,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
0.2,1,"intercept","free_lunch_Missing",9.30121237961586,4.54499393419583,14.3007570051048,9.755763070909,8.71980154792188,4.03154282604933,14.3719646629634,10.3404218369141,0.943458905717182,9,6,-11.8223327958706,-22.4144805113378,40.9164408531726,-27.1878431418411,87.0337227423856,TRUE,"unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.",NA,NA,NA
